#,Name,Rating,Phone,Price,Categories,Address,DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
,,,,,,"1501 broadway manhattan, ny 10036",TACO BELL,1501,BROADWAY,Manhattan,10036.0,1501 BROADWAY Manhattan 10036,Mexican,10/28/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11.0,A,10/28/22,12/4/23,40.7570962,-73.986193
,,,,,,"1501 broadway manhattan, ny 10036",TACO BELL,1501,BROADWAY,Manhattan,10036.0,1501 BROADWAY Manhattan 10036,Mexican,11/22/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11.0,A,11/22/23,12/4/23,40.7570962,-73.986193
142.0,Havana Central,4.0,12123987440.0,$$,"Cuban, Latin American, Wine Bars","151 west 46th st, manhattan, ny 10036",,,,,,,,,,,,,,,,,,
,,,,,,"152 west 52nd street manhattan, ny 10019",GABRIELA'S TAQUERIA,152,WEST 52 STREET,Manhattan,10019.0,152 WEST 52 STREET Manhattan 10019,Mexican,5/11/22,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12.0,A,5/11/22,12/4/23,40.7619977,-73.981568
,,,,,,"152 west 52nd street manhattan, ny 10019",GABRIELA'S TAQUERIA,152,WEST 52 STREET,Manhattan,10019.0,152 WEST 52 STREET Manhattan 10019,Mexican,5/11/22,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,5/11/22,12/4/23,40.7619977,-73.981568
,,,,,,"152 west 52nd street manhattan, ny 10019",GABRIELA'S TAQUERIA,152,WEST 52 STREET,Manhattan,10019.0,152 WEST 52 STREET Manhattan 10019,Mexican,5/11/22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,5/11/22,12/4/23,40.7619977,-73.981568
,,,,,,"152 west 52th street manhattan, ny 10019",GABRIELA'S TAQUERIA,152,WEST 52 STREET,Manhattan,10019.0,152 WEST 52 STREET Manhattan 10019,Mexican,6/12/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,6/12/23,12/4/23,40.7619977,-73.981568
122.0,16 de Septiembre,5.0,,,"Food Trucks, Mexican","1524 2nd avenue, manhattan, ny 10075",,,,,,,,,,,,,,,,,,
,,,,,,"1567 broadway manhattan, ny 10036",DOS CAMINOS,1567,BROADWAY,Manhattan,10036.0,1567 BROADWAY Manhattan 10036,Mexican,11/17/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,11/17/22,12/4/23,40.7592398,-73.985168
,,,,,,"1567 broadway manhattan, ny 10036",DOS CAMINOS,1567,BROADWAY,Manhattan,10036.0,1567 BROADWAY Manhattan 10036,Mexican,11/17/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,11/17/22,12/4/23,40.7592398,-73.985168
,,,,,,"158 east 116th street manhattan, ny 10029",QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029.0,158 east 116 STREET Manhattan 10029,Mexican,10/5/23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,23.0,B,10/5/23,12/4/23,40.7983713,-73.941066
,,,,,,"158 east 116th street manhattan, ny 10029",QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029.0,158 east 116 STREET Manhattan 10029,Mexican,10/5/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,23.0,B,10/5/23,12/4/23,40.7983713,-73.941066
,,,,,,"158 east 116th street manhattan, ny 10029",QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029.0,158 east 116 STREET Manhattan 10029,Mexican,10/5/23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,23.0,B,10/5/23,12/4/23,40.7983713,-73.941066
,,,,,,"158 east 116th street manhattan, ny 10029",QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029.0,158 east 116 STREET Manhattan 10029,Mexican,10/5/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,23.0,B,10/5/23,12/4/23,40.7983713,-73.941066
,,,,,,"158 east 116th street manhattan, ny 10029",QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029.0,158 east 116 STREET Manhattan 10029,Mexican,10/5/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23.0,B,10/5/23,12/4/23,40.7983713,-73.941066
,,,,,,"160 1st avenue manhattan, ny 10009",SABOR A MEXICO TAQUERIA,160,1 AVENUE,Manhattan,10009.0,160 1 avenue Manhattan 10009,Mexican,2/8/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2/8/23,12/4/23,40.7285999,-73.984536
,,,,,,"160 1st avenue manhattan, ny 10009",SABOR A MEXICO TAQUERIA,160,1 AVENUE,Manhattan,10009.0,160 1 avenue Manhattan 10009,Mexican,2/8/23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,7.0,A,2/8/23,12/4/23,40.7285999,-73.984536
,,,,,,"160 1st avenue manhattan, ny 10009",SABOR A MEXICO TAQUERIA,160,1 AVENUE,Manhattan,10009.0,160 1 avenue Manhattan 10009,Mexican,1/19/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7.0,A,1/19/22,12/4/23,40.7285999,-73.984536
,,,,,,"160 8th avenue manhattan, ny 10011",MEXICUE,160,8 AVENUE,Manhattan,10011.0,160 8 avenue Manhattan 10011,Mexican,6/16/22,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12.0,A,6/16/22,12/4/23,40.7421546,-74.000758
,,,,,,"160 8th avenue manhattan,, ny 10011",MEXICUE,160,8 AVENUE,Manhattan,10011.0,160 8 avenue Manhattan 10011,Mexican,6/16/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,6/16/22,12/4/23,40.7421546,-74.000758
,,,,,,"1616 amsterdam avenue manhattan, ny 10031",OSO,1616,AMSTERDAM AVENUE,Manhattan,10031.0,1616 AMSTERDAM avenue Manhattan 10031,Mexican,11/20/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,A,11/20/22,12/4/23,40.8218294,-73.950107
54.0,Jajaja Mexicana,4.5,16468835453.0,$$,"Mexican, Vegan, Bars","162 east broadway, manhattan, ny 10002",,,,,,,,,,,,,,,,,,
,,,,,,"1634 lexington avenue manhattan, ny 10029",EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029.0,1634 LEXINGTON avenue Manhattan 10029,Mexican,5/3/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,26.0,B,5/3/23,12/4/23,40.7904065,-73.947628
,,,,,,"1634 lexington avenue manhattan, ny 10029",EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029.0,1634 LEXINGTON avenue Manhattan 10029,Mexican,5/3/23,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,26.0,B,5/3/23,12/4/23,40.7904065,-73.947628
,,,,,,"1634 lexington avenue manhattan, ny 10029",EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029.0,1634 LEXINGTON avenue Manhattan 10029,Mexican,5/3/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,26.0,B,5/3/23,12/4/23,40.7904065,-73.947628
,,,,,,"1634 lexington avenue manhattan, ny 10029",EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029.0,1634 LEXINGTON avenue Manhattan 10029,Mexican,5/3/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,26.0,B,5/3/23,12/4/23,40.7904065,-73.947628
,,,,,,"1634 lexington avenue manhattan, ny 10029",EL AGUILA,1634,LEXINGTON AVENUE,Manhattan,10029.0,1634 LEXINGTON avenue Manhattan 10029,Mexican,5/3/23,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,26.0,B,5/3/23,12/4/23,40.7904065,-73.947628
,,,,,,"165-167 east 116th st manhattan, ny 10029",CHIPOTLE MEXICAN GRILL,165-167,E 116TH ST,Manhattan,10029.0,165-167 E 116TH ST Manhattan 10029,Mexican,3/16/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,4.0,A,3/16/23,12/4/23,40.7983355,-73.940936
,,,,,,"165-167 east 116th st manhattan, ny 10029",CHIPOTLE MEXICAN GRILL,165-167,E 116TH ST,Manhattan,10029.0,165-167 E 116TH ST Manhattan 10029,Mexican,3/16/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,3/16/23,12/4/23,40.7983355,-73.940936
,,,,,,"166 east 82 street manhattan, ny 10028",TOLOACHE,166,EAST 82 STREET,Manhattan,10028.0,166 east 82 STREET Manhattan 10028,Mexican,3/10/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,3/10/23,12/4/23,40.7765849,-73.956734
,,,,,,"166 east 82nd street manhattan, ny 10028",TOLOACHE,166,EAST 82 STREET,Manhattan,10028.0,166 east 82 STREET Manhattan 10028,Mexican,3/10/23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,3/10/23,12/4/23,40.7765849,-73.956734
146.0,Toloache 82nd,4.0,12128614505.0,$$$,"Mexican, Tex-Mex","166 east 82nd street, manhattan, ny 10028",,,,,,,,,,,,,,,,,,
,,,,,,"1685 1st avenue manhattan, ny 10128",CONMIGO,1685,1 AVENUE,Manhattan,10128.0,1685 1 avenue Manhattan 10128,Mexican,4/25/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,4/25/22,12/4/23,40.7778497,-73.948674
,,,,,,"1685 1st avenue manhattan, ny 10128",CONMIGO,1685,1 AVENUE,Manhattan,10128.0,1685 1 avenue Manhattan 10128,Mexican,4/25/22,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,9.0,A,4/25/22,12/4/23,40.7778497,-73.948674
44.0,Bosco,4.5,,,"Cocktail Bars, Mexican, Breakfast & Brunch","169 bleecker street, manhattan, ny 10012",,,,,,,,,,,,,,,,,,
37.0,Mictlan Mexico,4.5,19174095553.0,$$,Mexican,"17 orchard street, manhattan, ny 10002",,,,,,,,,,,,,,,,,,
,,,,,,"17 prince street manhattan, ny 10012",CAFE HABANA,17,PRINCE STREET,Manhattan,10012.0,17 PRINCE STREET Manhattan 10012,Mexican,12/19/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,12/19/22,12/4/23,40.7227709,-73.99426
,,,,,,"17 prince street manhattan, ny 10012",CAFE HABANA,17,PRINCE STREET,Manhattan,10012.0,17 PRINCE STREET Manhattan 10012,Mexican,12/19/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,12/19/22,12/4/23,40.7227709,-73.99426
92.0,Cafe Habana,4.0,12126252001.0,$$,"Cuban, Mexican","17 prince street, manhattan, ny 10012",,,,,,,,,,,,,,,,,,
,,,,,,"1701 2nd avenue manhattan, ny 10128",THE RED GRILL MEXICAN RESTAURANT,1701,2 AVENUE,Manhattan,10128.0,1701 2 avenue Manhattan 10128,Mexican,2/28/23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,2/28/23,12/4/23,40.7792724,-73.950735
,,,,,,"1701 2nd avenue manhattan, ny 10128",THE RED GRILL MEXICAN RESTAURANT,1701,2 AVENUE,Manhattan,10128.0,1701 2 avenue Manhattan 10128,Mexican,2/28/23,Violations were cited in the following area(s).,06C,"Food, supplies, and equipment not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,2/28/23,12/4/23,40.7792724,-73.950735
75.0,Boqueria Soho,4.0,12123434255.0,$$,"Spanish, Tapas Bars, Tapas/Small Plates","171 spring street, manhattan, ny 10012",,,,,,,,,,,,,,,,,,
53.0,Cascalote,5.0,19172658577.0,,"Mexican, Latin American","1712 2nd avenue, manhattan, ny 10128",,,,,,,,,,,,,,,,,,
,,,,,,"1735 2 avenue manhattan, ny 10128",MOLE CANTINA MEXICANA,1735,2 AVENUE,Manhattan,10128.0,1735 2 avenue Manhattan 10128,Mexican,5/18/22,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10.0,A,5/18/22,12/4/23,40.7802437,-73.95003
,,,,,,"1735 lexington avenue manhattan, ny 10029",THE JAGUAR RESTAURANT,1735,LEXINGTON AVENUE,Manhattan,10029.0,1735 LEXINGTON avenue Manhattan 10029,Mexican,2/9/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,13.0,A,2/9/23,12/4/23,40.7935701,-73.945292
,,,,,,"1735 lexington avenue manhattan, ny 10029",THE JAGUAR RESTAURANT,1735,LEXINGTON AVENUE,Manhattan,10029.0,1735 LEXINGTON avenue Manhattan 10029,Mexican,2/9/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2/9/23,12/4/23,40.7935701,-73.945292
,,,,,,"1743 lexington avenue manhattan, ny 10029",TAQUERIA GUADALUPE,1743,LEXINGTON AVENUE,Manhattan,10029.0,1743 LEXINGTON avenue Manhattan 10029,Mexican,2/15/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,12.0,A,2/15/23,12/4/23,40.7937951,-73.945126
,,,,,,"1743 lexington avenue manhattan, ny 10029",TAQUERIA GUADALUPE,1743,LEXINGTON AVENUE,Manhattan,10029.0,1743 LEXINGTON avenue Manhattan 10029,Mexican,2/15/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,2/15/23,12/4/23,40.7937951,-73.945126
,,,,,,"1744 1st avenue manhattan, ny 10128",SABOR A MEXICO,1744,FIRST AVENUE,Manhattan,10128.0,1744 FIRST avenue Manhattan 10128,Mexican,4/25/23,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,10.0,A,4/25/23,12/4/23,40.7796441,-73.947337
,,,,,,"1744 1st avenue manhattan, ny 10128",SABOR A MEXICO,1744,FIRST AVENUE,Manhattan,10128.0,1744 FIRST avenue Manhattan 10128,Mexican,4/25/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10.0,A,4/25/23,12/4/23,40.7796441,-73.947337
,,,,,,"1744 first avenue manhattan, ny 10128",SABOR A MEXICO,1744,FIRST AVENUE,Manhattan,10128.0,1744 FIRST avenue Manhattan 10128,Mexican,4/25/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,10.0,A,4/25/23,12/4/23,40.7796441,-73.947337
,,,,,,"175 lenox avenue manhattan, ny 10026",EL ENCANTO DE LOLA 2,175,LENOX AVENUE,Manhattan,10026.0,175 LENOX avenue Manhattan 10026,Mexican,3/2/22,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9.0,A,3/2/22,12/4/23,40.8037628,-73.948419
,,,,,,"175 lenox avenue manhattan, ny 10026",EL ENCANTO DE LOLA 2,175,LENOX AVENUE,Manhattan,10026.0,175 LENOX avenue Manhattan 10026,Mexican,3/2/22,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,9.0,A,3/2/22,12/4/23,40.8037628,-73.948419
,,,,,,1750 1st avenue manhattan 10128,TACO ZONE,1750,1 AVENUE,Manhattan,10128.0,1750 1 avenue Manhattan 10128,Mexican,8/22/23,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,25.0,B,8/22/23,12/4/23,40.7798335,-73.947199
,,,,,,"1750 1st avenue manhattan, ny 10128",TACO ZONE,1750,1 AVENUE,Manhattan,10128.0,1750 1 avenue Manhattan 10128,Mexican,8/22/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25.0,B,8/22/23,12/4/23,40.7798335,-73.947199
,,,,,,"1750 1st avenue manhattan, ny 10128",TACO ZONE,1750,1 AVENUE,Manhattan,10128.0,1750 1 avenue Manhattan 10128,Mexican,8/22/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25.0,B,8/22/23,12/4/23,40.7798335,-73.947199
,,,,,,"1750 1st avenue manhattan, ny 10128",TACO ZONE,1750,1 AVENUE,Manhattan,10128.0,1750 1 avenue Manhattan 10128,Mexican,8/22/23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,25.0,B,8/22/23,12/4/23,40.7798335,-73.947199
,,,,,,"1750 1st avenue manhattan, ny 10128",TACO ZONE,1750,1 AVENUE,Manhattan,10128.0,1750 1 avenue Manhattan 10128,Mexican,8/22/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25.0,B,8/22/23,12/4/23,40.7798335,-73.947199
88.0,Xochitl Taqueria,4.0,13475992226.0,,Mexican,"176 smith street, brooklyn, ny 11201",,,,,,,,,,,,,,,,,,
,,,,,,"1779 lexington avenue manhattan, ny 10029",MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029.0,1779 LEXINGTON avenue Manhattan 10029,Mexican,5/8/23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13.0,A,5/8/23,12/4/23,40.795016,-73.944236
,,,,,,"1779 lexington avenue manhattan, ny 10029",MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029.0,1779 LEXINGTON avenue Manhattan 10029,Mexican,4/21/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,4/21/22,12/4/23,40.795016,-73.944236
,,,,,,"1779 lexington avenue manhattan, ny 10029",MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029.0,1779 LEXINGTON avenue Manhattan 10029,Mexican,5/8/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13.0,A,5/8/23,12/4/23,40.795016,-73.944236
,,,,,,"1779 lexington avenue manhattan, ny 10029",MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029.0,1779 LEXINGTON avenue Manhattan 10029,Mexican,5/8/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,5/8/23,12/4/23,40.795016,-73.944236
,,,,,,"1779 lexington avenue manhattan, ny 10029",MEXICAN RESTAURANT,1779,LEXINGTON AVENUE,Manhattan,10029.0,1779 LEXINGTON avenue Manhattan 10029,Mexican,4/21/22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11.0,A,4/21/22,12/4/23,40.795016,-73.944236
8.0,Santa Fe BK,4.5,13477630279.0,,New Mexican Cuisine,"178 north 8th street, brooklyn, ny 11211",,,,,,,,,,,,,,,,,,
,,,,,,"179 east 115th street manhattan, ny 10029",LA GUADALUPE RESTAURANT,179,EAST 115 STREET,Manhattan,10029.0,179 east 115 STREET Manhattan 10029,Mexican,8/4/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,8/4/22,12/4/23,40.7975424,-73.941168
,,,,,,"179 east 115th street manhattan, ny 10029",LA GUADALUPE RESTAURANT,179,EAST 115 STREET,Manhattan,10029.0,179 east 115 STREET Manhattan 10029,Mexican,8/4/22,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,8.0,A,8/4/22,12/4/23,40.7975424,-73.941168
,,,,,,"18 east 14 street manhattan, ny 10003",TACO BELL,18,EAST 14 STREET,Manhattan,10003.0,18 east 14 STREET Manhattan 10003,Mexican,1/23/23,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10.0,A,1/23/23,12/4/23,40.7356108,-73.992711
89.0,Tacos Morelos,4.0,16464049080.0,$,"Mexican, Food Trucks, Soup","183 bedford avenue, brooklyn, ny 11222",,,,,,,,,,,,,,,,,,
,,,,,,"185 saint nicholas avenue manhattan, ny 10026",LA DIAGONAL,185,SAINT NICHOLAS AVENUE,Manhattan,10026.0,185 SAINT NICHOLAS avenue Manhattan 10026,Mexican,6/15/22,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10.0,A,6/15/22,12/4/23,40.8060895,-73.952832
,,,,,,"189 9th avenue manhattan, ny 10011",FONDA OF CHELSEA,189,9 AVENUE,Manhattan,10011.0,189 9 avenue Manhattan 10011,Mexican,1/23/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,11.0,A,1/23/23,12/4/23,40.7455444,-74.002025
,,,,,,"189 9th avenue manhattan, ny 10011",FONDA OF CHELSEA,189,9 AVENUE,Manhattan,10011.0,189 9 avenue Manhattan 10011,Mexican,1/23/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11.0,A,1/23/23,12/4/23,40.7455444,-74.002025
,,,,,,"189 9th avenue manhattan, ny 10011",FONDA OF CHELSEA,189,9 AVENUE,Manhattan,10011.0,189 9 avenue Manhattan 10011,Mexican,1/23/23,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11.0,A,1/23/23,12/4/23,40.7455444,-74.002025
,,,,,,"192 mercer street manhattan, ny 10012",GONZALEZ Y GONZALEZ,192,MERCER STREET,Manhattan,10012.0,192 MERCER STREET Manhattan 10012,Mexican,7/7/22,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,A,7/7/22,12/4/23,40.7263392,-73.997135
132.0,El Camion,4.0,12125335436.0,$$,Mexican,"194 avenue a, manhattan, ny 10009",,,,,,,,,,,,,,,,,,
,,,,,,"1969 amsterdam avenue manhattan, ny 10032",BLUE CORN RESTAURANT,1969,AMSTERDAM AVENUE,Manhattan,10032.0,1969 AMSTERDAM avenue Manhattan 10032,Mexican,3/10/22,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,7.0,A,3/10/22,12/4/23,40.8331064,-73.941837
,,,,,,"1969 amsterdam avenue manhattan, ny 10032",BLUE CORN RESTAURANT,1969,AMSTERDAM AVENUE,Manhattan,10032.0,1969 AMSTERDAM avenue Manhattan 10032,Mexican,3/10/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A,3/10/22,12/4/23,40.8331064,-73.941837
,,,,,,"1969 amsterdam avenue manhattan, ny 10032",BLUE CORN RESTAURANT,1969,AMSTERDAM AVENUE,Manhattan,10032.0,1969 AMSTERDAM avenue Manhattan 10032,Mexican,3/10/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,3/10/22,12/4/23,40.8331064,-73.941837
,,,,,,"198 8th avenue manhattan, ny 10011",EL TEMERARIO,198,8 AVENUE,Manhattan,10011.0,198 8 avenue Manhattan 10011,Mexican,6/11/22,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10.0,A,6/11/22,12/4/23,40.7434995,-73.999773
